City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
78,New Norfolk,AU,-42.7826,147.0587,57.7,60,29,1.01,2023-01-02 21:23:50,scattered clouds
79,Yamada,JP,39.4667,141.95,29.71,52,2,13.62,2023-01-02 21:23:50,clear sky
80,Mahebourg,MU,-20.4081,57.7,76.24,83,40,0.0,2023-01-02 21:23:50,scattered clouds
81,Chuy,UY,-33.6971,-53.4616,75.09,58,21,19.53,2023-01-02 21:23:51,few clouds
82,Tingi,TZ,-11.3,35.0333,64.08,86,82,3.15,2023-01-02 21:23:51,broken clouds
83,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,40,0.0,2023-01-02 21:23:52,scattered clouds
84,Moindou,NC,-21.6924,165.677,76.77,75,23,5.53,2023-01-02 21:23:52,few clouds
85,Butaritari,KI,3.0707,172.7902,80.76,76,99,12.48,2023-01-02 21:23:53,overcast clouds
86,Port Hedland,AU,-20.3167,118.5667,82.45,83,100,9.22,2023-01-02 21:23:53,overcast clouds
87,Talnakh,RU,69.4865,88.3972,-22.61,98,99,4.5,2023-01-02 21:23:53,overcast clouds
88,Yilan,TW,24.757,121.753,67.01,95,100,2.01,2023-01-02 21:23:54,overcast clouds
89,Thompson,CA,55.7435,-97.8558,9.68,93,93,6.2,2023-01-02 21:21:04,overcast clouds
90,Miri,MY,4.4148,114.0089,75.34,94,40,4.61,2023-01-02 21:23:54,scattered clouds
91,Touros,BR,-5.1989,-35.4608,79.61,77,100,12.68,2023-01-02 21:23:55,overcast clouds
92,Malaya Vishera,RU,58.8454,32.2222,22.62,97,100,3.31,2023-01-02 21:23:55,overcast clouds
93,Buala,SB,-8.145,159.5921,80.42,82,100,8.55,2023-01-02 21:23:56,light rain
94,Belmonte,BR,-15.8631,-38.8828,74.07,88,100,5.3,2023-01-02 21:23:56,overcast clouds
95,Margate,GB,51.3813,1.3862,35.11,79,4,8.1,2023-01-02 21:23:57,clear sky
96,Khatanga,RU,71.9667,102.5,-7.42,97,100,12.26,2023-01-02 21:23:57,light snow
97,Przhevalskoye,RU,55.5093,31.8482,32.18,100,100,7.96,2023-01-02 21:23:57,snow
98,Carauari,BR,-4.8828,-66.8958,82.26,63,49,3.53,2023-01-02 21:23:58,scattered clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,65,0,17.27,2023-01-02 21:23:59,clear sky
100,Torbay,CA,47.6666,-52.7314,31.39,89,75,14.97,2023-01-02 21:23:59,broken clouds
101,Ambilobe,MG,-13.2,49.05,73.08,92,83,4.05,2023-01-02 21:23:59,broken clouds
102,Bredasdorp,ZA,-34.5322,20.0403,68.29,91,50,9.04,2023-01-02 21:24:00,scattered clouds
103,Ostrovnoy,RU,68.0531,39.5131,22.71,80,100,19.39,2023-01-02 21:24:00,light snow
104,Gornopravdinsk,RU,60.05,69.9,11.95,91,100,12.88,2023-01-02 21:24:01,overcast clouds
105,Moranbah,AU,-22.0016,148.0466,73.58,75,21,7.07,2023-01-02 21:24:01,few clouds
106,Ferme-Neuve,CA,46.7001,-75.4493,33.84,88,97,5.48,2023-01-02 21:24:02,overcast clouds
107,Diego De Almagro,CL,-26.3667,-70.05,78.1,26,8,13.4,2023-01-02 21:24:02,clear sky
108,Ribeira Grande,PT,38.5167,-28.7,61.77,82,40,13.8,2023-01-02 21:24:03,scattered clouds
109,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,82,89,7.63,2023-01-02 21:24:03,overcast clouds
110,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,83,1,21.94,2023-01-02 21:22:38,clear sky
111,Padang,ID,-0.9492,100.3543,75.25,84,100,3.58,2023-01-02 21:24:04,heavy intensity rain
112,Henties Bay,NA,-22.116,14.2845,66.0,90,45,9.17,2023-01-02 21:24:05,light rain
113,Asau,RO,46.4333,26.4,34.72,74,16,7.09,2023-01-02 21:24:05,few clouds
114,Finnsnes,NO,69.2296,17.9811,28.76,99,100,3.0,2023-01-02 21:24:06,light snow
115,Byron Bay,AU,-28.65,153.6167,70.72,77,18,4.72,2023-01-02 21:24:06,few clouds
116,Kavaratti,IN,10.5669,72.642,80.1,74,13,8.41,2023-01-02 21:24:06,few clouds
117,Vestmannaeyjar,IS,63.4427,-20.2734,41.56,61,100,7.16,2023-01-02 21:24:07,overcast clouds
118,Boende,CD,-0.2167,20.8667,74.86,74,82,2.59,2023-01-02 21:24:07,broken clouds
119,Aksarka,RU,66.5606,67.7975,-3.8,98,100,16.62,2023-01-02 21:24:08,light snow
120,Paracuru,BR,-3.41,-39.0306,81.1,79,80,12.3,2023-01-02 21:24:08,broken clouds
121,Coahuayana,MX,18.7333,-103.6833,85.78,42,48,6.49,2023-01-02 21:24:09,scattered clouds
122,Codrington,AU,-38.2667,141.9667,60.19,66,100,10.31,2023-01-02 21:24:09,overcast clouds
123,Palmeira,BR,-25.4294,-50.0064,71.55,90,100,1.43,2023-01-02 21:24:10,overcast clouds
124,Mataura,NZ,-46.1927,168.8643,67.05,54,100,1.48,2023-01-02 21:24:10,overcast clouds
125,Tailai,CN,46.3833,123.4,-5.08,86,1,3.15,2023-01-02 21:24:11,clear sky
126,Half Moon Bay,US,37.4636,-122.4286,54.18,72,100,14.97,2023-01-02 21:21:42,overcast clouds
127,Qaanaaq,GL,77.484,-69.3632,-4.02,57,20,0.65,2023-01-02 21:24:11,few clouds
128,Aswan,EG,24.0934,32.907,56.5,38,0,6.91,2023-01-02 21:24:12,clear sky
129,Areosa,PT,41.7178,-8.8571,50.16,78,7,4.21,2023-01-02 21:24:12,clear sky
130,Manga,BF,11.6636,-1.0731,71.1,16,7,8.61,2023-01-02 21:24:13,clear sky
131,Port Elizabeth,ZA,-33.918,25.5701,73.09,91,0,9.22,2023-01-02 21:24:13,clear sky
